Date,Open,High,Low,Close,Volume
4/8/2008 16:00:00,220.03,226.33,217.86,222.23,496088
4/9/2008 16:00:00,222.05,223.29,215,219.26,419352
4/10/2008 16:00:00,218.88,223.79,217.76,220.39,212815
4/11/2008 16:00:00,208.02,214.79,206.1,207.5,579936
4/14/2008 16:00:00,207,207.95,201.26,202.85,373080
4/15/2008 16:00:00,205.2,206.38,197.99,205.19,736924
4/16/2008 16:00:00,202.01,208.25,200.96,205.4,819972
4/17/2008 16:00:00,201.75,202.72,197.71,202,693627
4/18/2008 16:00:00,206.96,210.43,203.31,204.35,857993
4/21/2008 16:00:00,200.08,204.77,199.64,201.86,374938
4/22/2008 16:00:00,199.87,200.72,191.72,194.57,565846
4/23/2008 16:00:00,193.5,195.7,190.8,193.55,291192
4/24/2008 16:00:00,191.8,203.21,191.8,202.5,509396
4/25/2008 16:00:00,204.4,206.69,198.24,203.34,299373
4/28/2008 16:00:00,202.6,204.69,199.5,202.67,248626
4/29/2008 16:00:00,202,202.9,198.45,200.8,324515
4/30/2008 16:00:00,204.5,205.72,200.91,201.79,417225
5/1/2008 16:00:00,200.25,212.54,200.25,211.94,514849
5/2/2008 16:00:00,214,217.58,211.2,216.25,360887
5/5/2008 16:00:00,212.51,220,212.47,215.4,389860
5/6/2008 16:00:00,216.5,220.14,210.78,218.95,696497
5/7/2008 16:00:00,220.46,220.46,211.2,212.15,469560
5/8/2008 16:00:00,214.48,214.9,210,214.43,254054
5/9/2008 16:00:00,213.98,216.76,209.6,212,231016
5/12/2008 16:00:00,214.21,219.1,213,215.85,639743
5/13/2008 16:00:00,217.73,217.74,211.64,214.75,404075
5/14/2008 16:00:00,213.95,217.22,212.67,213.22,377294
5/15/2008 16:00:00,213.22,219.33,211.85,219.1,239026
5/16/2008 16:00:00,219.14,219.14,213.52,216.4,174927
5/19/2008 16:00:00,217,219.93,211.81,213.25,273533
5/20/2008 16:00:00,211.4,211.4,204.28,206.65,412701
5/21/2008 16:00:00,207,207.25,199.63,200.78,207075
5/22/2008 16:00:00,199.4,204.89,198.61,203.36,320997
5/23/2008 16:00:00,203.75,212.06,203.75,208.51,664774
5/27/2008 16:00:00,208.95,214.7,208.16,214.61,364602
5/28/2008 16:00:00,216,216.15,210.98,215.4,194902
5/29/2008 16:00:00,214.65,224.5,214.02,221.5,362095
5/30/2008 16:00:00,223,227.51,222.76,224.99,283780
6/2/2008 16:00:00,223.8,223.8,216.25,220.13,268824
6/3/2008 16:00:00,219.23,220.41,213.72,217.35,583691
6/4/2008 16:00:00,216.99,219.33,215.06,216.03,397826
6/5/2008 16:00:00,217.5,223.52,217.5,223.52,366369
6/6/2008 16:00:00,220.73,220.82,213.51,213.51,270844
6/9/2008 16:00:00,213.54,217.54,210.04,213.9,258660
6/10/2008 16:00:00,213.53,215.48,209.93,211.99,434465
6/11/2008 16:00:00,211.28,211.3,202.8,203,487056
6/12/2008 16:00:00,204,208.21,200.72,202.95,646373
6/13/2008 16:00:00,205.5,210.25,202.97,210.25,538373
6/16/2008 16:00:00,208.78,211.85,205.01,208.69,454822
6/17/2008 16:00:00,210.25,212.78,203.51,204.6,398049
6/18/2008 16:00:00,202.75,208.66,202.01,204.96,477336
6/19/2008 16:00:00,204.5,206.55,199.76,206.03,526130
6/20/2008 16:00:00,204.2,204.74,194.07,197,583507
6/23/2008 16:00:00,204.63,206.1,197.36,199.56,739826
6/24/2008 16:00:00,202.69,202.69,191.69,194.12,730448
6/25/2008 16:00:00,193.55,196.43,188.25,189.55,740698
6/26/2008 16:00:00,186,186.55,180.32,180.7,643148
6/27/2008 16:00:00,182.55,183.26,176.61,177.6,2915016
6/30/2008 16:00:00,182.07,182.07,171.86,177,989662
7/1/2008 16:00:00,173.74,178.69,170.31,176.03,1029580
7/2/2008 16:00:00,177.99,180,166.82,168.1,1207560
7/3/2008 16:00:00,169.4,169.98,165,169.57,587657
7/7/2008 16:00:00,169.99,171.82,162.25,164.21,1093268
7/8/2008 16:00:00,162.41,174.05,161.35,174.05,794012
7/9/2008 16:00:00,174.06,175.51,166.01,166.68,847136
7/10/2008 16:00:00,168.25,178.01,166.2,172.95,926402
7/11/2008 16:00:00,169.43,176.91,167.7,174.71,1165178
7/14/2008 16:00:00,176.38,179,166.31,166.63,669611
7/15/2008 16:00:00,165.25,169.22,156.2,164.18,1475395
7/16/2008 16:00:00,164.4,179.84,162.25,178.95,2457737
7/17/2008 16:00:00,191.99,215.63,185.4,208.26,2561072
7/18/2008 16:00:00,207.9,222.88,204.49,218,1673618
7/21/2008 16:00:00,217.06,222.99,210.31,213.2,746524
7/22/2008 16:00:00,212,220.92,204.05,220.92,865151
7/23/2008 16:00:00,217.14,224.63,215.16,222.57,958736
7/24/2008 16:00:00,223.91,223.91,210.88,212,698407
7/25/2008 16:00:00,212.25,220.08,209.44,218.3,502591
7/28/2008 16:00:00,217.43,221.09,209.07,209.45,566680
7/29/2008 16:00:00,211.75,221.2,210.01,221.2,595299
7/30/2008 16:00:00,221.95,226.5,213.32,221.5,501845
7/31/2008 16:00:00,217.99,221.23,216.05,216.71,417102
8/1/2008 16:00:00,217.5,220.94,211.74,219.32,567606
8/4/2008 16:00:00,217.88,220.6,214.5,217.4,372750
