Date,Open,High,Low,Close,Volume
10/22/2019 23:58:00,26798,26904,26715,26763,142586
10/23/2019 23:58:00,26752,26852,26588,26802,146498
10/24/2019 23:58:00,26819,26872,26655,26780,151905
10/25/2019 23:58:00,26776,26967,26710,26904,129494
10/28/2019 23:58:00,26931,27120,26926,27053,137386
10/29/2019 23:58:00,27062,27111,26967,27042,125024
10/30/2019 23:58:00,27053,27230,26940,27132,145416
10/31/2019 23:58:00,27172,27180,26847,26982,196230
11/1/2019 23:58:00,26992,27278,26959,27259,156682
11/4/2019 23:58:00,27278,27450,27274,27380,135054
11/5/2019 23:58:00,27402,27493,27366,27421,126855
11/6/2019 23:58:00,27420,27470,27337,27430,129213
11/7/2019 23:58:00,27454,27739,27390,27667,159345
11/8/2019 23:58:00,27672,27717,27541,27631,125901
11/11/2019 23:58:00,27645,27673,27470,27658,121486
11/12/2019 23:58:00,27658,27732,27597,27663,134102
11/13/2019 23:58:00,27661,27771,27524,27761,160188
11/14/2019 23:58:00,27772,27806,27633,27746,142843
11/15/2019 23:58:00,27750,27971,27736,27953,136161
11/18/2019 23:58:00,27960,28059,27926,28008,127718
11/19/2019 23:58:00,28013,28128,27851,27895,151389
11/20/2019 23:58:00,27884,27884,27643,27800,189292
11/21/2019 23:58:00,27726,27846,27654,27748,163129
11/22/2019 23:58:00,27754,27884,27722,27862,127996
11/25/2019 23:58:00,27927,28045,27904,28039,96040
11/26/2019 23:58:00,28025,28149,27999,28130,118243
11/29/2019 13:00:00,28150,28158,28042,28073,100093
12/2/2019 23:58:00,28082,28197,27772,27789,225859
12/3/2019 23:58:00,27788,27847,27312,27487,259333
12/4/2019 23:58:00,27478,27727,27397,27643,180374
12/5/2019 23:58:00,27644,27773,27558,27678,164776
12/6/2019 23:58:00,27688,28039,27675,28014,149889
12/9/2019 23:58:00,28020,28047,27878,27902,109237
12/10/2019 23:58:00,27901,27959,27726,27921,164906
12/11/2019 23:58:00,27924,27980,27804,27924,138872
12/12/2019 23:58:00,27933,28230,27856,28131,238388
12/13/2019 23:58:00,28181,28303,28036,28168,166855
12/16/2019 23:58:00,28192,28345,28159,28253,74072
12/17/2019 23:58:00,28235,28335,28173,28276,69489
12/18/2019 23:58:00,28257,28327,28238,28281,37632
12/19/2019 23:58:00,28290,28423,28254,28401,139387
12/20/2019 23:58:00,28415,28526,28377,28482,145444
12/23/2019 23:58:00,28491,28583,28475,28550,92191
12/26/2019 23:58:00,28518,28624,28510,28619,58115
12/27/2019 23:58:00,28603,28721,28596,28610,119339
12/30/2019 23:58:00,28618,28660,28403,28440,161176
1/2/2020 23:58:00,28553,28871,28538,28841,182131
1/3/2020 23:58:00,28844,28893,28431,28602,243423
1/6/2020 23:58:00,28494,28700,28351,28642,218693
1/7/2020 23:58:00,28636,28739,28446,28526,196279
1/8/2020 23:58:00,28502,28833,28084,28770,336649
1/9/2020 23:58:00,28772,28953,28745,28929,181585
1/10/2020 23:58:00,28930,29022,28751,28777,183361
1/13/2020 23:58:00,28775,28907,28775,28871,141633
1/14/2020 23:58:00,28874,29015,28737,28934,231853
1/15/2020 23:58:00,28934,29090,28838,29029,224023
1/16/2020 23:58:00,29034,29263,29032,29240,152823
1/17/2020 23:58:00,29245,29362,29242,29279,170070
1/21/2020 23:58:00,29280,29318,29108,29179,237428
1/22/2020 23:58:00,29177,29309,29093,29140,192697
1/23/2020 23:58:00,29112,29150,28924,29127,231778
1/24/2020 23:58:00,29129,29241,28796,28933,300055
1/27/2020 23:58:00,28720,28732,28405,28481,363482
1/28/2020 23:58:00,28479,28780,28471,28710,260726
1/29/2020 23:58:00,28736,28888,28650,28710,235407
1/30/2020 23:58:00,28718,28843,28432,28791,345564
1/31/2020 23:58:00,28838,28881,28105,28196,367032
2/3/2020 23:58:00,28159,28573,28136,28361,268299
2/4/2020 23:58:00,28366,28847,28287,28789,221941
2/5/2020 23:58:00,28776,29275,28692,29241,275467
2/6/2020 23:58:00,29248,29475,29186,29328,237682
2/7/2020 23:58:00,29357,29367,29006,29044,224295
2/10/2020 23:58:00,29021,29250,28850,29245,196714
